GAME_ID,Date,Start (ET),Visitor_ID,Visitor_PTS,Home_ID,Home_PTS,Notes
206,"Mon, Nov 21, 2016",8:30 PM,1610612742,91,1610612759,96,
207,"Mon, Nov 21, 2016",7:00 PM,1610612756,101,1610612764,106,
208,"Tue, Nov 22, 2016",7:30 PM,1610612740,112,1610612737,94,
209,"Tue, Nov 22, 2016",9:00 PM,1610612741,107,1610612743,110,
210,"Tue, Nov 22, 2016",10:30 PM,1610612760,109,1610612747,111,
211,"Tue, Nov 22, 2016",7:30 PM,1610612757,103,1610612752,107,
212,"Wed, Nov 23, 2016",7:30 PM,1610612738,111,1610612751,92,
213,"Wed, Nov 23, 2016",7:00 PM,1610612759,119,1610612766,114,
214,"Wed, Nov 23, 2016",7:00 PM,1610612757,125,1610612739,137,
216,"Wed, Nov 23, 2016",7:30 PM,1610612748,84,1610612765,107,
217,"Wed, Nov 23, 2016",10:30 PM,1610612747,106,1610612744,149,
218,"Wed, Nov 23, 2016",8:00 PM,1610612761,115,1610612745,102,
219,"Wed, Nov 23, 2016",7:00 PM,1610612737,96,1610612754,85,
220,"Wed, Nov 23, 2016",9:30 PM,1610612750,96,1610612740,117,
221,"Wed, Nov 23, 2016",7:00 PM,1610612756,92,1610612753,87,
222,"Wed, Nov 23, 2016",7:00 PM,1610612763,104,1610612755,99,2OT
223,"Wed, Nov 23, 2016",10:30 PM,1610612760,101,1610612758,116,
224,"Wed, Nov 23, 2016",9:00 PM,1610612743,83,1610612762,108,
225,"Fri, Nov 25, 2016",1:00 PM,1610612759,109,1610612738,103,
226,"Fri, Nov 25, 2016",7:30 PM,1610612742,90,1610612739,128,
227,"Fri, Nov 25, 2016",9:00 PM,1610612760,132,1610612743,129,OT
229,"Fri, Nov 25, 2016",8:00 PM,1610612751,97,1610612754,118,
230,"Fri, Nov 25, 2016",10:30 PM,1610612744,109,1610612747,85,
231,"Fri, Nov 25, 2016",8:00 PM,1610612748,90,1610612763,81,
232,"Fri, Nov 25, 2016",8:00 PM,1610612761,105,1610612749,99,
233,"Fri, Nov 25, 2016",7:30 PM,1610612766,111,1610612752,113,OT
234,"Fri, Nov 25, 2016",7:00 PM,1610612764,94,1610612753,91,
235,"Fri, Nov 25, 2016",7:30 PM,1610612741,105,1610612755,89,
236,"Fri, Nov 25, 2016",9:00 PM,1610612750,98,1610612756,85,
237,"Fri, Nov 25, 2016",10:00 PM,1610612740,104,1610612757,119,
238,"Fri, Nov 25, 2016",10:30 PM,1610612745,117,1610612758,104,
239,"Fri, Nov 25, 2016",8:00 PM,1610612737,68,1610612762,95,
240,"Sat, Nov 26, 2016",7:00 PM,1610612752,102,1610612766,107,
241,"Sat, Nov 26, 2016",10:30 PM,1610612750,102,1610612744,115,
242,"Sat, Nov 26, 2016",8:00 PM,1610612763,110,1610612748,107,
243,"Sat, Nov 26, 2016",8:00 PM,1610612765,88,1610612760,106,
244,"Sat, Nov 26, 2016",7:00 PM,1610612759,112,1610612764,100,
245,"Sun, Nov 27, 2016",6:00 PM,1610612758,122,1610612751,105,
246,"Sun, Nov 27, 2016",7:00 PM,1610612740,81,1610612742,91,
248,"Sun, Nov 27, 2016",9:30 PM,1610612737,94,1610612747,109,
249,"Sun, Nov 27, 2016",6:00 PM,1610612749,104,1610612753,96,
250,"Sun, Nov 27, 2016",1:00 PM,1610612739,112,1610612755,108,
251,"Sun, Nov 27, 2016",3:30 PM,1610612743,120,1610612756,114,
252,"Sun, Nov 27, 2016",9:00 PM,1610612745,130,1610612757,114,
253,"Mon, Nov 28, 2016",10:30 PM,1610612737,100,1610612744,105,
254,"Mon, Nov 28, 2016",8:00 PM,1610612766,104,1610612763,85,
255,"Mon, Nov 28, 2016",7:30 PM,1610612738,112,1610612748,104,
256,"Mon, Nov 28, 2016",8:00 PM,1610612762,112,1610612750,103,
257,"Mon, Nov 28, 2016",7:30 PM,1610612760,112,1610612752,103,
258,"Mon, Nov 28, 2016",7:30 PM,1610612755,95,1610612761,122,
259,"Mon, Nov 28, 2016",7:00 PM,1610612758,95,1610612764,101,OT
261,"Tue, Nov 29, 2016",7:00 PM,1610612765,112,1610612766,89,
262,"Tue, Nov 29, 2016",8:00 PM,1610612739,101,1610612749,118,
263,"Tue, Nov 29, 2016",8:00 PM,1610612747,88,1610612740,105,
264,"Tue, Nov 29, 2016",8:30 PM,1610612753,95,1610612759,83,
265,"Tue, Nov 29, 2016",9:00 PM,1610612745,101,1610612762,120,
266,"Wed, Nov 30, 2016",7:30 PM,1610612765,121,1610612738,114,
267,"Wed, Nov 30, 2016",8:00 PM,1610612747,96,1610612741,90,
268,"Wed, Nov 30, 2016",8:30 PM,1610612759,94,1610612742,87,
269,"Wed, Nov 30, 2016",9:00 PM,1610612748,106,1610612743,98,
270,"Wed, Nov 30, 2016",8:00 PM,1610612752,106,1610612750,104,
271,"Wed, Nov 30, 2016",8:00 PM,1610612764,115,1610612760,126,OT
272,"Wed, Nov 30, 2016",9:00 PM,1610612737,107,1610612756,109,
273,"Wed, Nov 30, 2016",10:00 PM,1610612754,109,1610612757,131,
274,"Wed, Nov 30, 2016",7:30 PM,1610612763,105,1610612761,120,
275,"Thu, Dec 1, 2016",7:30 PM,1610612749,111,1610612751,93,
276,"Thu, Dec 1, 2016",7:00 PM,1610612742,87,1610612766,97,
278,"Thu, Dec 1, 2016",10:30 PM,1610612745,132,1610612744,127,2OT
279,"Thu, Dec 1, 2016",8:00 PM,1610612753,94,1610612763,95,
280,"Thu, Dec 1, 2016",9:00 PM,1610612748,111,1610612762,110,
281,"Fri, Dec 2, 2016",8:00 PM,1610612765,121,1610612737,85,
282,"Fri, Dec 2, 2016",7:30 PM,1610612758,92,1610612738,97,
283,"Fri, Dec 2, 2016",8:00 PM,1610612739,105,1610612741,111,
284,"Fri, Dec 2, 2016",10:30 PM,1610612745,128,1610612743,110,
286,"Fri, Dec 2, 2016",7:30 PM,1610612750,114,1610612752,118,
287,"Fri, Dec 2, 2016",7:00 PM,1610612753,105,1610612755,88,
288,"Fri, Dec 2, 2016",8:30 PM,1610612764,105,1610612759,107,
289,"Fri, Dec 2, 2016",7:30 PM,1610612747,80,1610612761,113,
290,"Sat, Dec 3, 2016",7:00 PM,1610612750,125,1610612766,120,OT
291,"Sat, Dec 3, 2016",8:30 PM,1610612741,82,1610612742,107,
292,"Sat, Dec 3, 2016",10:30 PM,1610612756,109,1610612744,138,
293,"Sat, Dec 3, 2016",8:00 PM,1610612747,100,1610612763,103,
294,"Sat, Dec 3, 2016",5:00 PM,1610612751,103,1610612749,112,
295,"Sat, Dec 3, 2016",7:30 PM,1610612738,107,1610612755,106,
296,"Sat, Dec 3, 2016",10:00 PM,1610612748,92,1610612757,99,
297,"Sat, Dec 3, 2016",7:30 PM,1610612737,84,1610612761,128,
298,"Sat, Dec 3, 2016",9:00 PM,1610612743,98,1610612762,105,
299,"Sun, Dec 4, 2016",6:00 PM,1610612753,98,1610612765,92,
301,"Sun, Dec 4, 2016",7:30 PM,1610612758,98,1610612752,106,
302,"Sun, Dec 4, 2016",7:00 PM,1610612740,92,1610612760,101,
303,"Mon, Dec 5, 2016",7:30 PM,1610612760,102,1610612737,99,
304,"Mon, Dec 5, 2016",7:30 PM,1610612764,118,1610612751,113,
305,"Mon, Dec 5, 2016",8:00 PM,1610612757,112,1610612741,110,
306,"Mon, Dec 5, 2016",8:30 PM,1610612766,109,1610612742,101,
307,"Mon, Dec 5, 2016",10:30 PM,1610612754,106,1610612744,142,
308,"Mon, Dec 5, 2016",8:00 PM,1610612738,106,1610612745,107,
309,"Mon, Dec 5, 2016",10:30 PM,1610612762,107,1610612747,101,
310,"Mon, Dec 5, 2016",8:00 PM,1610612759,97,1610612749,96,
311,"Mon, Dec 5, 2016",8:00 PM,1610612763,110,1610612740,108,2OT
312,"Mon, Dec 5, 2016",7:00 PM,1610612743,106,1610612755,98,
313,"Mon, Dec 5, 2016",7:30 PM,1610612739,116,1610612761,112,
314,"Tue, Dec 6, 2016",7:30 PM,1610612741,91,1610612765,102,
315,"Tue, Dec 6, 2016",8:00 PM,1610612755,91,1610612763,96,
316,"Tue, Dec 6, 2016",7:30 PM,1610612752,114,1610612748,103,
317,"Tue, Dec 6, 2016",8:00 PM,1610612759,105,1610612750,91,
318,"Tue, Dec 6, 2016",9:00 PM,1610612756,105,1610612762,112,
319,"Tue, Dec 6, 2016",7:00 PM,1610612753,124,1610612764,116,
320,"Wed, Dec 7, 2016",7:30 PM,1610612748,95,1610612737,103,
321,"Wed, Dec 7, 2016",7:30 PM,1610612743,111,1610612751,116,
322,"Wed, Dec 7, 2016",7:00 PM,1610612765,77,1610612766,87,
323,"Wed, Dec 7, 2016",8:30 PM,1610612758,120,1610612742,89,
324,"Wed, Dec 7, 2016",8:00 PM,1610612747,95,1610612745,134,
326,"Wed, Dec 7, 2016",8:00 PM,1610612757,107,1610612749,115,
327,"Wed, Dec 7, 2016",8:00 PM,1610612739,126,1610612752,94,
328,"Wed, Dec 7, 2016",7:00 PM,1610612738,117,1610612753,87,
329,"Wed, Dec 7, 2016",9:00 PM,1610612754,109,1610612756,94,
330,"Thu, Dec 8, 2016",9:30 PM,1610612759,91,1610612741,95,
331,"Thu, Dec 8, 2016",8:00 PM,1610612757,86,1610612763,88,
332,"Thu, Dec 8, 2016",8:00 PM,1610612755,99,1610612740,88,
333,"Thu, Dec 8, 2016",7:00 PM,1610612750,110,1610612761,124,
334,"Thu, Dec 8, 2016",9:00 PM,1610612744,106,1610612762,99,
335,"Thu, Dec 8, 2016",7:00 PM,1610612743,85,1610612764,92,
336,"Fri, Dec 9, 2016",7:30 PM,1610612761,101,1610612738,94,
337,"Fri, Dec 9, 2016",7:00 PM,1610612753,88,1610612766,109,
338,"Fri, Dec 9, 2016",7:30 PM,1610612748,84,1610612739,114,
339,"Fri, Dec 9, 2016",8:30 PM,1610612754,103,1610612742,111,
340,"Fri, Dec 9, 2016",10:30 PM,1610612756,119,1610612747,115,
341,"Fri, Dec 9, 2016",8:00 PM,1610612737,114,1610612749,110,
342,"Fri, Dec 9, 2016",8:00 PM,1610612765,117,1610612750,90,
343,"Fri, Dec 9, 2016",8:00 PM,1610612745,102,1610612760,99,
344,"Fri, Dec 9, 2016",10:30 PM,1610612752,103,1610612758,100,
345,"Sat, Dec 10, 2016",8:00 PM,1610612748,100,1610612741,105,
346,"Sat, Dec 10, 2016",7:30 PM,1610612766,105,1610612739,116,
347,"Sat, Dec 10, 2016",8:00 PM,1610612742,87,1610612745,109,
348,"Sat, Dec 10, 2016",7:00 PM,1610612757,111,1610612754,118,
350,"Sat, Dec 10, 2016",8:00 PM,1610612744,89,1610612763,110,
351,"Sat, Dec 10, 2016",7:00 PM,1610612743,121,1610612753,113,
352,"Sat, Dec 10, 2016",8:30 PM,1610612751,101,1610612759,130,
353,"Sat, Dec 10, 2016",9:00 PM,1610612758,84,1610612762,104,
354,"Sat, Dec 10, 2016",7:00 PM,1610612749,105,1610612764,110,
